sample_ID,species,abbrev,SRR,country,lon,lat,category,perc_proper_reads,depth,n.sites_filtered_individual,n.sites_filtered_species,n.sites_pruned_species
AC284,Amphiprion_clarkii,CLK,SRR29150620,PHI,122.7312101,12.7503486,Generalist,95.4749,16.2611,19751298,19759807,2192819
AC296,Amphiprion_clarkii,CLK,SRR29150619,PHI,122.7312101,12.7503486,Generalist,95.349,16.0418,19753617,19759807,2192819
AC302,Amphiprion_clarkii,CLK,SRR29150618,PHI,122.7312101,12.7503486,Generalist,94.2382,12.875,19748007,19759807,2192819
AC01,Amphiprion_clarkii,CLK,SRR29150607,TAI,120.9820179,23.9739374,Generalist,95.1714,15.1406,19749293,19759807,2192819
AC02,Amphiprion_clarkii,CLK,SRR29150606,TAI,120.9820179,23.9739374,Generalist,96.6592,17.0744,19748153,19759807,2192819
AC03,Amphiprion_clarkii,CLK,SRR29150604,TAI,120.9820179,23.9739374,Generalist,96.7587,16.8883,19747268,19759807,2192819
AC04,Amphiprion_clarkii,CLK,SRR29150603,TAI,120.9820179,23.9739374,Generalist,94.2705,15.4849,19750366,19759807,2192819
AC05,Amphiprion_clarkii,CLK,SRR29150602,TAI,120.9820179,23.9739374,Generalist,94.3352,14.7012,19746551,19759807,2192819
AC06,Amphiprion_clarkii,CLK,SRR29150601,TAI,120.9820179,23.9739374,Generalist,94.0044,15.4513,19749651,19759807,2192819
AC07,Amphiprion_clarkii,CLK,SRR29150600,TAI,120.9820179,23.9739374,Generalist,96.9665,14.2613,19749226,19759807,2192819
AC08,Amphiprion_clarkii,CLK,SRR29150599,TAI,120.9820179,23.9739374,Generalist,96.7577,16.6083,19748560,19759807,2192819
AC10,Amphiprion_clarkii,CLK,SRR29150598,TAI,120.9820179,23.9739374,Generalist,96.6661,16.7909,19747292,19759807,2192819
3721,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,90.8342,13.4956,19755251,19759807,2192819
3727,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,92.0274,14.9716,19752699,19759807,2192819
3729,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,93.1069,18.1026,19756324,19759807,2192819
3752,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,95.429,17.6556,19756096,19759807,2192819
3760,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,94.6746,18.0602,19756071,19759807,2192819
3762,Amphiprion_clarkii,CLK,pending upload,PNG,151.416667,-3,Generalist,94.4603,19.7789,19756416,19759807,2192819
