"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"199","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",18,749276.25,925908.125,1102540,463.479,2.69699382280535
"200","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",19,1102540,1102540,Inf,463.479,2.69699382280535
"203","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",2,860.5275,1237.31375,1614.1,1327.66,0.941506108491632
"204","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",3,1614.1,2168.3625,2722.625,534.307,2.33947898867131
"205","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",4,2722.625,3537.95625,4353.2875,156.993,7.96213843929347
"206","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",5,4353.2875,5552.65625,6752.025,776.681,1.60941235848437
"207","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",6,6752.025,8516.31875,10280.6125,678.587,1.84206299265975
"208","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",7,10280.6125,12875.93125,15471.25,394.875,3.16555872111428
"209","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",8,15471.25,19289,23106.75,329.13,3.79789141068879
"210","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",9,23106.75,28722.75,34338.75,407.28,3.06914162247103
"211","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",10,34338.75,42600,50861.25,589.226,2.12142709249083
"212","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",11,50861.25,63013.75,75166.25,902.278,1.38538233227453
"213","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",12,75166.25,93042.8125,110919.375,1346.89,0.928063910193111
"214","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",13,110919.375,137215.9375,163512.5,1803.17,0.69322360065884
