"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"155","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",14,93591.375,115732.5625,137873.75,1579.44,0.79141974370663
"156","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",15,137873.75,170444.375,203015,1104.32,1.1319182845552
"157","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",16,203015,250926.875,298838.75,814.264,1.53512865606241
"158","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",17,298838.75,369318.125,439797.5,811.404,1.54053960788953
"159","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",18,439797.5,543473.75,647150,213.567,5.85296417517688
"160","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",19,647150,647150,Inf,213.567,5.85296417517688
"161","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",0,0,99.665,199.33,1090.8,1.14594792812615
"162","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",1,199.33,345.93875,492.5475,1090.8,1.14594792812615
"163","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",2,492.5475,708.2125,923.8775,6126.21,0.204041324081284
"164","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",3,923.8775,1241.12625,1558.375,2042.31,0.612052039112573
"165","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",4,1558.375,2025.05,2491.725,1778.81,0.702716984950613
"166","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",5,2491.725,3178.21875,3864.7125,1631.94,0.765959532825962
"167","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",6,3864.7125,4874.55625,5884.4,1533.05,0.815368057140993
"168","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",7,5884.4,7369.90625,8855.4125,1455.24,0.858964844286853
