Sample_ID,Anemonefish.Species,Species_Abbreviation,Country,Country_Abbreviation,Location,Pop_ID,Coord.X,Coord.Y,Host category,Accession
GB176,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN41501599
GB177,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN41501600
GB187,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957722
GB188,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957723
GB189,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957724
GB198,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957725
GB200,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957726
GB204,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957727
GB205,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957728
GB207,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957729
GB210,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957730
GB211,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957731
GB213,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957732
GB215,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957733
GB218,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957734
GB219,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957735
GB221,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957736
GB222,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957737
GB223,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957738
GB224,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957739
GB225,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957740
GB228,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957741
GB229,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957742
GB230,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957743
GB237,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957744
HKN042,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957745
HKN045,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957746
HKN112,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957747
HKN153,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957748
HKN186,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957749
HKN195,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,,PNG,144.2489081,-5.6816069,Generalist,SAMN45957750
AC136,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501635
AC145,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501636
AC153,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501637
AC202,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501638
AC211,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501639
AC231,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501640
AC266,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501641
AC284,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501642
AC296,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501643
AC302,Amphiprion_clarkii,CLK,Philippines,PHI,,PHI,122.7312101,12.7503486,Generalist,SAMN41501644
AC01,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501654
AC02,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501655
AC03,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501656
AC04,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501657
AC05,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501658
AC06,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501659
AC07,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501660
AC08,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501661
AC10,Amphiprion_clarkii,CLK,Taiwan,TAI,,TAI,120.9820179,23.9739374,Generalist,SAMN41501662
3721,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957751
3727,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957752
3729,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957753
3752,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957754
3760,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957755
3762,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957756
3765,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957757
3787,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Kavieng,PNG_Kavieng,151.416667,-3,Generalist,SAMN45957758
